LoanId,MaxDPD
92222882,117
92222885,-10
92222912,0
92222961,22
92223403,-25
92223406,0
92223446,0
92223500,0
92245444,6
92245564,86
92245598,-2
92245716,80
92224186,1
92224192,0
92224335,-2
92224355,-10
92224359,8
92224368,114
92224399,114
92224404,0
92224422,-16
92233133,103
92233159,-17
92213865,0
92229204,12
92229211,-26
92229232,3
92229285,18
92229290,3
92229311,-23
92229327,1
92229413,75
92229426,108
92245130,56
92245189,-6
92212517,-4
92212551,-2
92212606,4
92224020,0
92224055,-2
92224166,0
92224196,85
92224203,109
92224262,2
92202594,121
92248757,0
92248931,82
92248988,-1
92249033,7
92249060,82
92241465,-19
92241485,-1
92230271,-26
92221022,119
92221051,119
92227660,-90
92227666,80
92227701,110
92227723,0
92227729,-21
92227819,-1
92227824,-8
92214851,128
92214882,-11
92214903,0
92214964,3
92215015,3
92222715,1
92222738,117
92222807,-8
92222827,0
92222832,0
92222869,0
92222876,-1
92222904,117
92222950,5
92253244,78
92223729,116
92241082,9
92225909,-14
92225935,2
92225950,0
92225970,-20
92225983,0
92226047,2
92210396,0
92210421,-1
92222974,87
92222987,0
92211700,-1
92227748,-1
92227756,0
92227820,110
92227930,-2
92227943,0
92228130,-1
92228174,109
92230019,107
92230027,107
92230033,-22
92230035,0
92230042,107
92230049,4
92230070,107
92230071,107
92230114,107
92230119,0
92230126,3
92230192,107
92230216,0
92230217,106
92220813,-1
92220815,1
92220854,0
92220872,-3
92220899,-13
92221491,0
92221519,-3
92233465,2
92233483,66
92233555,-2
92209828,-4
92216351,0
92216357,0
92216431,2
92224457,-26
92224496,113
92224503,10
92236452,94
92236487,1
92236501,96
92236528,98
92236567,-4
92236594,95
92244390,-15
92233306,-25
92247480,82
92247642,82
92219133,109
92236665,-3
92236679,-6
92236714,97
92220324,0
92220332,10
92220337,0
92220381,120
92220383,0
92220399,120
92221222,119
92221260,2
92221292,0
92221302,-28
92221304,116
92221595,0
92221600,91
92221633,15
92221687,-3
92221698,117
92221706,116
92215885,-29
92215905,-5
92215965,-16
92216103,1
92223625,-6
92223636,-1
92223640,115
92223691,-3
92228227,1
92228260,-3
92234891,-2
92234932,100
92243011,-1
92243022,-25
92243075,0
92243207,-1
92243296,1
92243419,4
92250327,81
92250501,79
92250525,-1
92250552,-13
92250581,81
92203511,-1
92219050,0
92219877,-17
92230836,106
92251667,-19
92251684,77
92209358,-12
92223817,10
92223820,0
92223829,-12
92223838,85
92232670,-1
92232773,-1
92253789,2
92253834,77
92253918,15
92253933,77
92253954,77
92234507,-2
92234529,0
92234532,41
92226381,-4
92226403,-10
92226444,0
92226457,110
92226488,112
92226501,11
92226539,-4
92235059,0
92235065,-9
92254918,1
92254919,-2
92254932,45
92254968,0
92254971,0
92255008,-14
92255080,0
92255230,-11
92255285,5
92216451,124
92216452,-3
92216503,126
92241870,-1
92241920,89
92249869,81
92249892,21
92249919,26
92249970,5
92249984,-3
92250017,80
92250035,1
92250244,81
92250265,-3
92250379,80
92250461,80
92250526,81
92211628,132
92211631,-27
92211693,68
92223539,0
92223540,6
92223605,0
92232984,103
92232993,-26
92233073,103
92223371,1
92223372,-7
92223460,0
92229112,108
92229117,1
92229131,3
92229136,0
92229149,6
92229153,107
92232814,9
92232846,98
92232959,-12
92232964,100
92233015,103
92233017,3
92199053,0
92218254,4
92235184,99
92251104,-5
92251112,4
92251149,-23
92251194,-15
92251289,2
92251397,-6
92251474,80
92251505,-28
92253437,77
92233906,101
92233943,-1
92233945,-11
92235582,-3
92244024,87
92244037,-3
92244087,-3
92244112,-2
92228454,-20
92228457,-25
92228548,109
92228563,2
92228577,-1
92228582,6
92228613,15
92228644,0
92228652,4
92228667,14
92228737,-1
92228789,49
92228794,7
92228840,-20
92228849,-21
92245592,82
92229159,-1
92234903,8
92252488,78
92252529,-18
92212483,130
92212497,2
92212523,-1
92253371,76
92227123,-3
92227162,-9
92227175,111
92227212,-15
92227221,-5
92227240,108
92227287,-18
92227297,111
92227301,0
92227311,-21
92227372,-1
92227378,-8
92242832,84
92242850,77
92253487,1
92253538,-22
92253564,47
92253591,77
92253620,0
