address,ID,First_Due_Date,First_Payment_Month,DisbursementMonth,DisbursementDate,loanamount,LOANNAME,totaldue,TERM,Paidflag
Lagos,92002425,2021-05-24,2021-05-01,2021-05-01,2021-05-11,6000.0000000000,"Nano Loan - NTB Final",780.00,3,"not paid"
Lagos,92002434,2021-03-12,2021-03-01,2021-02-01,2021-02-12,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,paidin7
Rivers,92002437,2021-03-11,2021-03-01,2021-02-01,2021-02-11,18000.0000000000,"Nano Loan - NTB Final",5400.00,3,paidin7
Lagos,92002453,2021-03-14,2021-03-01,2021-02-01,2021-02-12,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,paidin30
Lagos,92002465,2021-03-23,2021-03-01,2021-02-01,2021-02-21,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,"not paid"
Oyo,92002483,2021-03-12,2021-03-01,2021-03-01,2021-03-09,13300.0000000000,"Nano Loan - NTB Final",399.00,3,paidin7
FCT,92002511,2021-03-12,2021-03-01,2021-02-01,2021-02-12,6800.0000000000,"Nano Loan - NTB Final",2040.00,3,paidin7
Lagos,92002519,2021-03-14,2021-03-01,2021-02-01,2021-02-12,20000.0000000000,"Lite Loan - New",6000.00,3,"not paid"
Lagos,92002528,2021-03-12,2021-03-01,2021-02-01,2021-02-12,11300.0000000000,"Lite Loan - New",3390.00,3,paidin7
Kaduna,92002533,2021-03-12,2021-03-01,2021-02-01,2021-02-12,20000.0000000000,"Lite Loan - New",6000.00,3,paidin7
Lagos,92002539,2021-03-14,2021-03-01,2021-02-01,2021-02-12,7200.0000000000,"Lite Loan - New",2160.00,3,"not paid"
Edo,92002560,2021-03-12,2021-03-01,2021-02-01,2021-02-12,10000.0000000000,"Lite Loan - New",3000.00,3,paidin7
Ogun,92002564,2021-03-22,2021-03-01,2021-02-01,2021-02-20,20000.0000000000,"Lite Loan - New",6000.00,3,"not paid"
Lagos,92002589,2021-03-12,2021-03-01,2021-02-01,2021-02-12,20000.0000000000,"Lite Loan - New",6000.00,3,paidin7
Rivers,92002594,2021-03-12,2021-03-01,2021-02-01,2021-02-13,20000.0000000000,"Lite Loan - New",6000.00,3,paidin7
Lagos,92002613,2021-03-12,2021-03-01,2021-02-01,2021-02-12,19000.0000000000,"Lite Loan - New",5700.00,3,paidin7
Rivers,92002638,2021-03-15,2021-03-01,2021-02-01,2021-02-13,20000.0000000000,"Lite Loan - New",6000.00,3,"not paid"
Oyo,92002656,2021-03-15,2021-03-01,2021-03-01,2021-03-12,20000.0000000000,"Lite Loan - New",6000.00,3,paidin7
Rivers,92002658,2021-05-27,2021-05-01,2021-05-01,2021-05-11,9300.0000000000,"Lite Loan - New",1488.00,3,paidin7
Ogun,92002677,2021-03-15,2021-03-01,2021-02-01,2021-02-13,14600.0000000000,"Lite Loan - New",4672.00,3,"not paid"
Lagos,92002682,2021-03-15,2021-03-01,2021-02-01,2021-02-13,15000.0000000000,"Lite Loan - New",4500.00,3,"not paid"
Rivers,92002702,2021-04-05,2021-04-01,2021-03-01,2021-03-05,10000.0000000000,"Lite Loan - New",3000.00,3,paidin7
Lagos,92002733,2021-03-17,2021-03-01,2021-02-01,2021-02-17,20000.0000000000,"Lite Loan - New",6000.00,3,paidin14
FCT,92002740,2021-03-16,2021-03-01,2021-02-01,2021-02-14,7400.0000000000,"Lite Loan - New",2294.00,3,"not paid"
Lagos,92002744,2021-04-14,2021-04-01,2021-03-01,2021-03-15,9800.0000000000,"Lite Loan - New",12740.00,3,paidin7
FCT,92002759,2021-03-15,2021-03-01,2021-02-01,2021-02-13,12400.0000000000,"Lite Loan - New",3968.00,3,"not paid"
Lagos,92002772,2021-04-30,2021-04-01,2021-03-01,2021-03-15,16000.0000000000,"Lite Loan - New",1669.57,3,paidin7
FCT,92002780,2021-03-15,2021-03-01,2021-02-01,2021-02-13,15800.0000000000,"Lite Loan - New",5056.00,3,paidin7
